mag,force
32.30473322944313,80
39.39928398298992,80
28.000711723935108,80
14.050986295613681,80
13.623701887687732,80
20.768931593182213,80
21.93414124737867,80
16.300359664378394,80
13.629322496799837,80
14.700887471710203,80
15.025183850617902,80
15.179792556934993,80
17.905831367925163,80
19.979163861118394,80
21.401129868119625,80
28.429793055678932,80
34.525613283936174,80
34.2837014926827,80
27.978225285490456,80
15.076308358739828,80
5.1197920527052565,80
11.746729831249432,80
17.804001066816824,80
18.36488791334249,80
12.407889175231272,80
9.830343132588327,80
10.58269727731864,80
11.416488105963925,80
11.18266511003652,80
10.678682596551692,80
10.128915042264161,80
10.895141397568159,80
14.702117601609334,80
19.09599523832152,80
25.213272324694252,80
29.173647134580172,80
31.758266653009752,80
35.214222606880384,80
32.846492147564796,80
19.82101250694916,80
11.473488114668662,80
11.466993617336545,80
14.207083047785964,80
16.216406048480447,80
15.57369159981456,80
14.282723455583673,80
14.3077012774066,80
19.986727352444362,80
23.725265259619523,80
32.30473322944313,80
