mag,force
12.969768495593453,80
11.542008687291501,80
11.918040193279781,80
17.481822482927814,80
20.32056904022645,80
23.937431193758385,80
26.075453510231736,80
33.44638227960199,80
39.36664170454787,80
35.77006073348791,80
36.1562290417674,80
39.307797853260354,80
42.46225025675701,80
48.39498338866968,80
57.78030634858626,80
44.6070637172987,80
28.055717971863487,80
28.310778570229242,80
37.90875242073074,80
36.882468664140816,80
25.02912020522643,80
15.135025099265247,80
11.77603110843272,80
12.593468609046367,80
15.035020332222008,80
18.690226824020282,80
23.73371902875043,80
26.46084619990152,80
28.13736727962364,80
33.99111950029008,80
39.181417259697746,80
42.23679769039671,80
46.0288535025556,80
39.59606286258437,80
20.842357473323045,80
10.688507573606548,80
13.931709006375044,80
13.906166025898644,80
14.70523795605781,80
13.195972102794562,80
10.049206011124943,80
10.559890047522146,80
10.362970145315137,80
8.87283588747886,80
9.930376335237938,80
15.546061280773147,80
21.570387081906294,80
22.202585211311554,80
20.88817942841246,80
19.92919528741157,80
