mag,force
15.378077153637912,20
15.401681608329504,20
16.82300126880449,20
18.846305775615615,20
16.43061157870611,20
11.247636661231581,20
11.108357785582395,20
12.502915322732735,20
11.571185345720819,20
8.224875069286103,20
6.386917320857416,20
5.261178033096243,20
4.243528243054492,20
4.1179671702738325,20
4.382176356821796,20
6.204856579971665,20
8.804019225636958,20
12.467690732793091,20
15.474814952396883,20
15.66475286911759,20
14.31788919448752,20
15.056062158053171,20
17.96804690942383,20
18.621409582784974,20
14.52396805221109,20
9.944212945758364,20
7.111848259237408,20
5.7633335400026935,20
5.113754850632748,20
4.964217627488391,20
5.395543620066743,20
6.738651382854316,20
7.4309122256153906,20
6.965498745025882,20
6.430928961502556,20
7.09101349360122,20
9.729423404352799,20
13.809439045757397,20
17.847998304173213,20
17.059787814404768,20
11.37595147388965,20
9.389370706078214,20
13.463703651808434,20
18.261996422041125,20
16.657609118520217,20
10.611037738245976,20
6.885704993506556,20
6.130613996172528,20
8.355037858791949,20
10.769978176299169,20
