ApplicationName,ProgramId,FileKeyLastWriteTimestamp,SHA1,IsOsComponent,FullPath,Name,FileExtension,LinkDate,ProductName,Size,Version,ProductVersion,LongPathHash,BinaryType,IsPeFile,BinFileVersion,BinProductVersion,Usn,Language,Description
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-05-04 19:17:46,810101becfeeaf16a23e566385644454b7ae7fbf,True,c:\windows\system32\aggregatorhost.exe,AggregatorHost.exe,.exe,2004-09-25 18:04:34,microsoft® windows® operating system,307200,10.0.22621.2506 (winbuild.160101.0800),10.0.22621.2506,,pe64_amd64,False,10.0.22621.2506,10.0.22621.2506,423160,1033,
Unassociated,0006b4a47c56b59d5bb2f0019faaef689ff500000904,2024-05-04 23:40:04,3317904c40f5b8e9467cfcd2ea1cf50f8228509e,False,c:\windows\softwaredistribution\download\install\am_delta_patch_1.409.680.0.exe,AM_Delta_Patch_1.409.680.0.exe,.exe,2024-05-04 16:45:08,microsoft malware protection,333304,1.409.683.0,1.409.683.0,,pe64_amd64,False,1.409.683.0,1.409.683.0,244297600,1033,
Unassociated,0006aa19f5d1584552b431784fb40372055b00000904,2024-05-04 21:27:29,8764de2b4adfe389351b22e0be73694fdc5e5907,False,c:\windows\softwaredistribution\download\install\am_engine.exe,AM_Engine.exe,.exe,2024-03-11 20:23:50,microsoft malware protection,7104096,1.1.24030.4,1.1.24030.4,,pe64_amd64,False,1.1.24030.4,1.1.24030.4,215401904,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-05-04 19:17:47,922ffc54251c8c259d6d97bdc49df6c794030d88,True,c:\windows\system32\appidcertstorecheck.exe,appidcertstorecheck.exe,.exe,2080-12-15 14:41:09,microsoft® windows® operating system,77824,10.0.22621.2506 (winbuild.160101.0800),10.0.22621.2506,,pe64_amd64,False,10.0.22621.2506,10.0.22621.2506,731168,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-05-04 19:17:47,c6450ff97921256a6f7fe9477596806ed51783de,True,c:\windows\system32\appidpolicyconverter.exe,appidpolicyconverter.exe,.exe,2094-07-12 02:20:56,microsoft® windows® operating system,200704,10.0.22621.2506 (winbuild.160101.0800),10.0.22621.2506,,pe64_amd64,False,10.0.22621.2506,10.0.22621.2506,694544,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-05-04 19:56:14,591935e9f28b4d88288df7c9854434d41016d50b,True,c:\windows\system32\applicationframehost.exe,ApplicationFrameHost.exe,.exe,2086-07-15 20:29:38,microsoft® windows® operating system,96472,10.0.22621.2506 (winbuild.160101.0800),10.0.22621.2506,,pe64_amd64,False,10.0.22621.2506,10.0.22621.2506,0,1033,
Unassociated,0006d216bf3c93c3811664a31a4798e9f38600000904,2024-05-04 19:51:45,f9e7f5628aaaabed9939ef055540e24590a9ccfb,False,c:\users\rick\downloads\.opera\opera installer temp\opera_package_202405042049081\assistant\assistant_installer.exe,assistant_installer.exe,.exe,2024-04-10 08:23:22,opera browser assistant installer,1998752,109.0.5097.45,109.0.5097.45,,pe32_i386,False,109.0.5097.45,109.0.5097.45,20011256,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-05-04 19:17:48,cae60e3849dc80bd59fcfd0b963dd6e4263a4533,True,c:\windows\system32\cloudexperiencehostbroker.exe,CloudExperienceHostBroker.exe,.exe,1973-05-26 09:28:22,microsoft® windows® operating system,95600,10.0.22621.2506 (winbuild.160101.0800),10.0.22621.2506,,pe64_amd64,False,10.0.22621.2506,10.0.22621.2506,6892496,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-05-04 22:51:11,2cdacaf6d55cc4f9e26075bd65f65b4d52fb6b47,True,c:\windows\system32\cmd.exe,cmd.exe,.exe,2074-08-31 06:03:30,microsoft® windows® operating system,323584,10.0.22621.2506 (winbuild.160101.0800),10.0.22621.2506,,pe64_amd64,False,10.0.22621.2506,10.0.22621.2506,218801472,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-05-04 23:53:52,86214f7f3a8ac4b824c23ef54f65d60ec5bc8618,True,c:\windows\system32\compattelrunner.exe,CompatTelRunner.exe,.exe,2020-12-21 10:19:01,microsoft® windows® operating system,280168,10.0.22621.2506 (winbuild.160101.0800),10.0.22621.2506,,pe64_amd64,False,10.0.22621.2506,10.0.22621.2506,247690768,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-05-04 23:00:07,ab65dc96796a509a7840174758ab2f37f3ea44ad,True,c:\windows\system32\conhost.exe,conhost.exe,.exe,1994-05-20 15:06:52,microsoft® windows® operating system,1040384,10.0.22621.2506 (winbuild.160101.0800),10.0.22621.2506,,pe64_amd64,False,10.0.22621.2506,10.0.22621.2506,322648,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-05-04 20:50:59,ff187094a5800c91efaf73d27eeff19df34a7507,True,c:\windows\system32\consent.exe,consent.exe,.exe,1975-04-02 16:01:11,microsoft® windows® operating system,226784,10.0.22621.2506 (winbuild.160101.0800),10.0.22621.2506,,pe64_amd64,False,10.0.22621.2506,10.0.22621.2506,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-05-04 19:17:45,9006ccac001d1352d004788ac1d134bd266a82d7,True,c:\windows\system32\csrss.exe,csrss.exe,.exe,2010-10-20 07:57:13,microsoft® windows® operating system,38616,10.0.22621.1 (winbuild.160101.0800),10.0.22621.1,,pe64_amd64,False,10.0.22621.1,10.0.22621.1,0,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-05-04 23:01:09,b70099ce5945540ebb63603a5c3d328e58047034,True,c:\windows\system32\defrag.exe,Defrag.exe,.exe,2041-08-08 11:34:13,windows drive optimizer,245760,10.0.22621.1 (winbuild.160101.0800),10.0.22621.1,,pe64_amd64,False,10.0.22621.1,10.0.22621.1,219370696,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-05-04 19:17:51,1c3cac9053b32a5938c6b3670730d7f8e72d1524,True,c:\windows\system32\devicecensus.exe,DeviceCensus.exe,.exe,2059-03-29 04:10:15,microsoft® windows® operating system,161136,10.0.22621.2506 (winbuild.160101.0800),10.0.22621.2506,,pe64_amd64,False,10.0.22621.2506,10.0.22621.2506,933312,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-05-04 22:58:25,852d44d450123387df95a1e7c2ed60ff723caad0,True,c:\windows\system32\directxdatabaseupdater.exe,directxdatabaseupdater.exe,.exe,2009-03-03 10:09:53,microsoft® windows® operating system,176128,10.0.22621.2506 (winbuild.160101.0800),10.0.22621.2506,,pe64_amd64,False,10.0.22621.2506,10.0.22621.2506,8831664,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-05-04 19:21:20,c521025c55687c1f29b1f3a3c69b3d152ce84981,True,c:\windows\system32\dllhost.exe,dllhost.exe,.exe,1973-02-20 03:58:11,microsoft® windows® operating system,46416,10.0.22621.1 (winbuild.160101.0800),10.0.22621.1,,pe64_amd64,False,10.0.22621.1,10.0.22621.1,598352,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-05-04 19:28:01,362a0074a2aa7f0e193c42f7197bbf9796aec2ee,True,c:\windows\system32\dmclient.exe,dmclient.exe,.exe,2051-10-27 07:14:44,microsoft® windows® operating system,163840,10.0.22621.2792 (winbuild.160101.0800),10.0.22621.2792,,pe64_amd64,False,10.0.22621.2792,10.0.22621.2792,11969432,1033,
